GuidelineID;ConfigurationParameter;Target_Value;Default_Value;Is desired value the default?;ActionType;Negative Functional Impact;PowerCLI Command Assessment;PowerCLI Command Remediation;Able to set using Host Profile;Reference
VM.disable-unexposed-features-versionget;isolation.tools.vmxDnDVersionGet.disable;TRUE;Null;No;Add;Some automated tools and process may cease to function;"# List the VMs and their current settings
Get-VM | Get-AdvancedSetting -Name ""isolation.tools.vmxDnDVersionGet.disable""| where {$_.Value –eq “False”} | Select Entity, Name, Value";"# Add the setting to all VMs
Get-VM | New-AdvancedSetting -Name ""isolation.tools.vmxDnDVersionGet.disable"" -value $true";N/A;
VM.disable-unexposed-features-versionset;isolation.tools.guestDnDVersionSet.disable;TRUE;Null;No;Add;Some automated tools and process may cease to function;"# List the VMs and their current settings
Get-VM | Get-AdvancedSetting -Name ""isolation.tools.guestDnDVersionSet.disable""| where {$_.Value –eq “False”} |  Select Entity, Name, Value";"# Add the setting to all VMs
Get-VM | New-AdvancedSetting -Name ""isolation.tools.guestDnDVersionSet.disable"" -value $true";N/A;
VM.disable-vix-messages;isolation.tools.vixMessage.disable;TRUE;Null;No;Add;Guest will no longer be able to send messages via VIX API;"# List the VMs and their current settings
Get-VM | Get-AdvancedSetting -Name ""isolation.tools.vixMessage.disable""| where {$_.Value –eq “False”} |  Select Entity, Name, Value";"# Add the setting to all VMs
Get-VM | New-AdvancedSetting -Name ""isolation.tools.vixMessage.disable"" -value $true";N/A;"
 
?"
VM.disable-VMtools-autoinstall;isolation.tools.autoInstall.disable;TRUE;Null;No;Add;This option disables tools auto install, all tools installs will have to be manually started.;"# List the VMs and their current settings
Get-VM | Get-AdvancedSetting -Name  ""isolation.tools.autoInstall.disable""| where {$_.Value –eq “False”} | Select Entity, Name, Value";"# Add the setting to all VMs
Get-VM | New-AdvancedSetting -Name ""isolation.tools.autoInstall.disable"" -value $true";N/A;
VM.disconnect-devices-floppy;floppyX.present;not present or FALSE;;No;;Virtual machine will need to be powered off to reverse change if any of these devices are needed at a later time.;"# Check for Floppy Devices attached to VMs
Get-VM | Get-FloppyDrive | Select Parent, Name, ConnectionState";"# Remove all Floppy drives attached to VMs
Get-VM | Get-FloppyDrive | Remove-FloppyDrive";N/A;http://pubs.vmware.com/vsphere-55/topic/com.vmware.vsphere.security.doc/GUID-822B2ED3-D8D2-4F57-8335-CA46E915A729.html
VM.disconnect-devices-parallel;parallelX.present;not present or FALSE;;No;;Virtual machine will need to be powered off to reverse change if any of these devices are needed at a later time.;"# In this Example you will need to add the functions from this post: http://blogs.vmware.com/vipowershell/2012/05/working-with-vm-devices-in-powercli.html
# Check for Parallel ports attached to VMs
Get-VM | Get-ParallelPort";"# In this Example you will need to add the functions from this post: http://blogs.vmware.com/vipowershell/2012/05/working-with-vm-devices-in-powercli.html
# Remove all Parallel Ports attached to VMs
Get-VM | Get-ParallelPort | Remove-ParallelPort";N/A;http://pubs.vmware.com/vsphere-55/topic/com.vmware.vsphere.security.doc/GUID-822B2ED3-D8D2-4F57-8335-CA46E915A729.html
VM.disconnect-devices-serial;serialX.present;not present or FALSE;;No;;Virtual machine will need to be powered off to reverse change if any of these devices are needed at a later time.;"# In this Example you will need to add the functions from this post: http://blogs.vmware.com/vipowershell/2012/05/working-with-vm-devices-in-powercli.html
# Check for Serial ports attached to VMs
Get-VM | Get-SerialPort";"# In this Example you will need to add the functions from this post: http://blogs.vmware.com/vipowershell/2012/05/working-with-vm-devices-in-powercli.html
# Remove all Serial Ports attached to VMs
Get-VM | Get-SerialPort | Remove-SerialPort";N/A;http://pubs.vmware.com/vsphere-55/topic/com.vmware.vsphere.security.doc/GUID-822B2ED3-D8D2-4F57-8335-CA46E915A729.html
VM.limit-setinfo-size;tools.setInfo.sizeLimit;1048576;Null;No;Add;None;"# List the VMs and their current settings
Get-VM | Get-AdvancedSetting -Name ""tools.setInfo.sizeLimit"" | where {$_.Value –gt “1048576”} |  Select Entity, Name, Value";"# Add the setting to all VMs
Get-VM | New-AdvancedSetting -Name ""tools.setInfo.sizeLimit"" -value 1048576";N/A;"
?http://pubs.vmware.com/vsphere-60/topic/com.vmware.vsphere.vm_admin.doc/GUID-685722FA-9009-439C-9142-18A9E7C592EA.html
http://pubs.vmware.com/vsphere-60/topic/com.vmware.vsphere.security.doc/GUID-91BF834E-CB92-4014-8CF7-29CE40F3E8A3.html"
VM.minimize-console-VNC-use;RemoteDisplay.vnc.enabled;FALSE;Null;No;Audit Only;None;"# List the VMs and their current settings
Get-VM | Get-AdvancedSetting -Name ""RemoteDisplay.vnc.enabled"" | where {$_.Value –eq “True”} |  Select Entity, Name, Value";"# Add the setting to all VMs
Get-VM | New-AdvancedSetting -Name ""RemoteDisplay.vnc.enabled"" -value $false";N/A;
VM.prevent-device-interaction-connect;isolation.device.connectable.disable;TRUE;Null;No;Add;Device interaction is blocked inside the guest OS using VMware tools;"# List the VMs and their current settings
Get-VM | Get-AdvancedSetting -Name ""isolation.device.connectable.disable"" | where {$_.Value –eq “False”} |  Select Entity, Name, Value";"# Add the setting to all VMs
Get-VM | New-AdvancedSetting -Name ""isolation.device.connectable.disable"" -value $true";N/A;"
http://pubs.vmware.com/vsphere-60/topic/com.vmware.vsphere.vm_admin.doc/GUID-685722FA-9009-439C-9142-18A9E7C592EA.html
http://pubs.vmware.com/vsphere-60/topic/com.vmware.vsphere.security.doc/GUID-F88A5FED-552B-44F9-A168-C62D9306DBD6.html"
VM.prevent-device-interaction-edit;isolation.device.edit.disable;TRUE;Null;No;Add;Device interaction is blocked inside the guest OS using VMware tools;"# List the VMs and their current settings
Get-VM | Get-AdvancedSetting -Name ""isolation.device.edit.disable"" | where {$_.Value –eq “False”} | Select Entity, Name, Value";"# Add the setting to all VMs
Get-VM | New-AdvancedSetting -Name ""isolation.device.edit.disable"" -value $true";N/A;http://pubs.vmware.com/vsphere-60/topic/com.vmware.vsphere.security.doc/GUID-F88A5FED-552B-44F9-A168-C62D9306DBD6.html
VM.restrict-host-info;tools.guestlib.enableHostInfo;False;Null;No;Audit Only;Unable to retrieve performance information about the host from inside the guest, there are times when this can be useful for troubleshooting.;"# List the VMs and their current settings
Get-VM | Get-AdvancedSetting -Name  ""tools.guestlib.enableHostInfo""| where {$_.Value –eq “True”} | Select Entity, Name, Value";"# Add the setting to all VMs
Get-VM | New-AdvancedSetting -Name ""tools.guestlib.enableHostInfo"" -value $false";N/A;http://pubs.vmware.com/vsphere-60/topic/com.vmware.vsphere.security.doc/GUID-2CF880DA-2435-4201-9AFB-A16A11951A2D.html
VM.TransparentPageSharing-inter-VM-Enabled;maxConnections;Site-Specific;Null;No;Remove, Modify;Running with Inter-VM page sharing should only be done between virtual machines that are trust-worthy. ;"# List the VMs and their current settings
Get-VM | Get-AdvancedSetting -Name ""Mem.ShareForceSalting"" | where {$_.Value –eq “1”} | Select Entity, Name, Value";"# Add the setting to all VMs
$ vmsaltvalue = ""<some unique value>""
Get-VM | New-AdvancedSetting -Name ""sched.mem.pshare.salt"" -value $vmsaltvalue";NO;"
https://kb.vmware.com/kb/2080735
?https://kb.vmware.com/kb/2097593
?https://kb.vmware.com/kb/2091682"
VM.verify-network-filter;ethernetn.filtern.name = filtername;Null unless using dvfilter;Null;No;Audit Only;incorrectly configuring this option can negatively impact functionality of tools that use dvFilter API's.;"# List the VMs and their current settings
Get-VM | Get-AdvancedSetting -Name  ""ethernet*.filter*.name*"" | Select Entity, Name, Value";;N/A;http://pubs.vmware.com/vsphere-60/topic/com.vmware.vsphere.security.doc/GUID-CD0783C9-1734-4B9A-B821-ED17A77B0206.html
VM.verify-PCI-Passthrough;pciPassthru*.present;NULL;NULL;Yes;Audit Only;A buggy or malicious driver in the guest OS could cause a fault with the physical host resulting in a host crash;"# List the VMs and their current settings
Get-VM | Get-AdvancedSetting -Name ""pciPassthru*.present"" | Select Entity, Name, Value";"# Add the setting to all VMs
Get-VM | New-AdvancedSetting -Name ""pciPassthru*.present"" -value """"";N/A;"
?http://pubs.vmware.com/vsphere-60/topic/com.vmware.powercli.ug.doc/GUID-0E922C7E-67DF-4A05-B4C0-013FC4EC60F4.html"
